;precision;recall;f1-score;support
0.0;0.86;0.92;0.89;26.0
1.0;0.62;0.77;0.69;13.0
2.0;0.86;0.69;0.77;26.0
accuracy;0.8;0.8;0.8;0.8
macro avg;0.78;0.79;0.78;65.0
weighted avg;0.81;0.8;0.8;65.0
