ClusterHour;slope_Temp;slope_Irrad;intercept;minimum
0;-2.559079600868143;-0.708546124800824;38.66117658779217;0.03497855176225795
1;-2.4850400899535137;-0.23584395771582412;37.18116452728639;2.024871478429393
2;-2.5213037459934657;-0.001484676298283259;37.13913534987184;0.7924929032760708
3;-2.406602951262251;-1.5285137124810306e-07;36.570802950610734;7.437784046885463
4;-2.881747754911199;-1.0415276127010173;40.300470274003125;0.13928522541060814
5;-2.2948026128880543;-0.13173961228020092;37.76076063621339;0.09548946724897768
6;-2.468820719878303;-0.16351309464966718;41.19343980480884;0.0904819857733652
7;-2.814856043736738;-0.0831337629158669;50.45785624284896;3.513048309631301
8;-2.9197290222369863;-0.02480633347016258;57.300894403965195;4.148131099471196
9;-7.167020456093738;-0.025465588841533337;134.50571779197477;5.682357823509636
10;-6.806094663352759;-4.6289552406862797e-10;128.72487707889718;3.4232834726998904
11;-6.981018630295817;-0.015214850716528661;132.11064738633706;7.589404818085545
12;-6.921404978003392;-3.344647042942075e-07;127.38825692056236;0.07395593315164822
13;-6.7718293069591935;-1.5363220747614834e-07;126.40659730600406;0.10486038952348624
14;-6.603299149194696;-1.5989753547919324e-05;124.22698520377173;9.89295385167596
15;-5.9170955913413295;-0.03684084795963488;126.82333979289666;8.352565026643497
16;-5.918841561304562;-0.07296652672131648;124.77791275421521;11.004171139857723
17;-5.161123999911937;-0.18753087456660314;107.40703951800238;7.864765712882359
18;-2.9330193615899467;-0.09280386707843959;57.41795847255825;0.5953113560678156
19;-3.0577088715663656;-0.13071290219838003;56.19881759661303;1.5709917585715476
20;-3.3079149842465707;-0.2441447375274641;57.25742018675727;2.7535041900143945e-05
21;-3.489216238836923;-5.301925454544867e-07;55.302519055730734;0.27402154457434214
22;-2.4939318156059587;-1.8574839844626904e-07;37.289154495843896;4.036601377414534
23;-2.8233409306578516;-0.0006364925721496757;36.035934427507144;1.5070295665660116
100;-1.9988378843234256;-8.439563308058135e-10;31.800732251396646;0.49041733035936513
101;-2.179758598558878;-3.4486298686238637e-06;32.19222636311364;2.0181033557947976
102;-2.061237370904119;-1.1040360249944422e-08;32.40248677676377;5.067145806343663
103;-2.388011601662838;-0.15276562521500875;33.46279453347508;3.8269555287163577
104;-2.0516087915834293;-0.17372287933125777;32.19194380169066;3.8123385212851093
105;-2.3917178584505145;-1.099183768351381e-07;33.45841641332319;0.03385977227122613
106;-1.9821483533378002;-0.010343279011204961;33.891208414991624;0.03253214555172229
107;-2.6399341765780675;-0.010038293713475152;43.425860850150855;5.197662422596818
108;-2.3972602462512107;-0.0001612798817255905;47.64355664943807;2.0005630952510236
109;-2.1636952998271015;-0.017488841363937763;47.71638148445662;0.10070643872168701
110;-2.0657150489003646;-1.120120720571167e-09;44.662044714601635;7.932315987368644
111;-2.222515026394788;-6.304377722800904e-08;44.12886113138938;8.915050703502292
112;-2.106491005915737;-0.00010806611685398754;43.15417762900937;11.32378253704845
113;-2.0414046121587948;-9.666698673541738e-11;41.0197705741374;6.309652971157024
114;-1.8338833070444096;-0.010204056897560125;42.37520046387592;2.2672790543745363
115;-1.9415712715666704;-0.006902588691407659;42.64163826441274;0.10619182776466708
116;-1.9245095590254635;-0.12359420132258354;47.045331268937865;10.264804380467037
