DATE;Holiday;Temperature;Solar_Irradiation;Power;DATE_YYYY_MM_DD;DATE_year;DATE_month_year;DATE_week_year;DATE_day_year;DATE_day_month;DATE_day_week;DATE_hour_year;DATE_hour_week;DATE_hour_day;DATE_weekday;slope_Temp;slope_Irrad;intercept;minimum;Power_fitted;Power_residuals;IS_Outlier
2019-01-01 00:00:00+00:00;True;-1.15;4.21;27.5;2019-01-01;2019;1;1;1;1;1;0;24;0;True;-2.0835802627932054;-3.5514546547534166e-08;30.37404959483239;0.5655302657020886;32.770166747528336;5.270166747528336;False
2019-01-01 01:00:00+00:00;True;-0.94;4.23;30.0;2019-01-01;2019;1;1;1;1;1;1;25;1;True;-2.3605520361434817;-1.4628491425912403e-09;29.216377935665136;2.790293966450816;31.435296843452157;1.4352968434521571;False
2019-01-01 02:00:00+00:00;True;-0.8;4.13;26.6;2019-01-01;2019;1;1;1;1;1;2;26;2;True;-2.0662099903769158;-7.346963386718394e-07;30.13492658247171;6.727957930318846;31.787891540477364;5.187891540477363;False
2019-01-01 03:00:00+00:00;True;-0.6;4.04;26.9;2019-01-01;2019;1;1;1;1;1;3;27;3;True;-2.1730152520583124;-0.4887353809898134;33.23752226966733;0.7634627660130903;32.56684048170347;5.666840481703474;False
2019-01-01 04:00:00+00:00;True;-0.1;4.93;28.4;2019-01-01;2019;1;1;1;1;1;4;28;4;True;-2.071152785438493;-0.1627123544534165;30.601778747883195;0.0850403012360028;30.0067221189717;1.6067221189717031;False
2019-01-01 05:00:00+00:00;True;-0.12;5.11;26.5;2019-01-01;2019;1;1;1;1;1;5;29;5;True;-1.7778273602835666;-0.320922150257191;34.79264081880091;5.953502796820568;33.36606791422069;6.866067914220693;False
2019-01-01 06:00:00+00:00;True;0.14;4.7;30.2;2019-01-01;2019;1;1;1;1;1;6;30;6;True;-2.184619057813007;-0.0233427203312243;33.097371950102925;0.8353554111601807;32.68181449645235;2.4818144964523476;False
2019-01-01 07:00:00+00:00;True;0.39;4.4;60.4;2019-01-01;2019;1;1;1;1;1;7;31;7;True;-2.527269403039184;-0.0286094627213713;41.62901279822958;0.273035658175102;40.517496095070264;-19.882503904929735;False
2019-01-01 08:00:00+00:00;True;0.51;4.72;39.7;2019-01-01;2019;1;1;1;1;1;8;32;8;True;-2.491917433414808;-0.0041953635372711;46.635611259528126;0.4427828120645974;45.344931252590655;5.644931252590652;False
2019-01-01 09:00:00+00:00;True;0.68;8.77;35.4;2019-01-01;2019;1;1;1;1;1;9;33;9;True;-6.507130072023158;-0.017815397608099;126.87242082122962;0.3880748237154731;122.29133133523085;86.89133133523086;True
2019-01-01 10:00:00+00:00;True;1.01;22.71;33.7;2019-01-01;2019;1;1;1;1;1;10;34;10;True;-6.464897030507769;-0.0238384005045673;126.78037599669854;2.3338913944998865;119.70945992042697;86.00945992042696;True
2019-01-01 11:00:00+00:00;True;1.43;28.42;32.8;2019-01-01;2019;1;1;1;1;1;11;35;11;True;-6.049622961563162;-0.042003565869682;128.1335080666565;0.7848671837329838;118.28880588960482;85.48880588960482;True
2019-01-01 12:00:00+00:00;True;1.81;40.0;32.5;2019-01-01;2019;1;1;1;1;1;12;36;12;True;-6.18226462856795;-0.018718341204293;119.65747735511624;7.569127604532198;107.71884472923654;75.21884472923654;True
2019-01-01 13:00:00+00:00;True;1.99;43.24;35.0;2019-01-01;2019;1;1;1;1;1;13;37;13;True;-6.029085337386557;-0.0190363352223623;122.29157012407428;1.561390656383395;109.47055916766008;74.47055916766008;True
2019-01-01 14:00:00+00:00;True;2.19;15.66;35.9;2019-01-01;2019;1;1;1;1;1;14;38;14;True;-5.932302147633969;-1.3459825862670352e-05;117.74803499850393;3.768115502003608;104.75608251431252;68.85608251431253;True
2019-01-01 15:00:00+00:00;True;2.32;5.74;36.1;2019-01-01;2019;1;1;1;1;1;15;39;15;True;-5.283018539986888;-0.0829091106608769;122.17341084721376;0.101308225263224;109.44090953925075;73.34090953925076;True
2019-01-01 16:00:00+00:00;True;2.3;2.83;33.1;2019-01-01;2019;1;1;1;1;1;16;40;16;True;-5.406504065032111;-0.0723633726939922;115.9971401008838;3.501334662923896;103.35739240658594;70.25739240658595;True
2019-01-01 17:00:00+00:00;True;2.36;1.9;32.2;2019-01-01;2019;1;1;1;1;1;17;41;17;True;-4.740705389585385;-0.0687704460736566;97.92219325869446;0.6185399442669882;86.60346469173301;54.40346469173301;True
2019-01-01 18:00:00+00:00;True;2.25;2.25;36.4;2019-01-01;2019;1;1;1;1;1;18;42;18;True;-2.6652401330874853;-0.4358984328136075;57.02578658384385;1.2077011691279704;50.048224810566396;13.648224810566397;False
2019-01-01 19:00:00+00:00;True;2.11;2.25;33.2;2019-01-01;2019;1;1;1;1;1;19;43;19;True;-2.608376193636612;-0.4325855606304021;56.8068089825608;4.81257171935446;50.329817702569144;17.12981770256914;False
2019-01-01 20:00:00+00:00;True;1.98;2.24;31.8;2019-01-01;2019;1;1;1;1;1;20;44;20;True;-2.67341761404866;-1.2076619754926636;51.79638388466266;1.256316680739323;43.79785418374275;11.99785418374275;False
2019-01-01 21:00:00+00:00;True;1.76;1.67;33.1;2019-01-01;2019;1;1;1;1;1;21;45;21;True;-3.1723574974233504;-0.1244272266053661;54.81002651004355;2.296957861207793;49.01888384614749;15.918883846147487;False
2019-01-01 22:00:00+00:00;True;1.62;1.56;25.2;2019-01-01;2019;1;1;1;1;1;22;46;22;True;-2.3102866355690392;-5.235227194614876e-07;36.35297714390183;0.1006512100151202;32.61031197758455;7.410311977584552;False
2019-01-01 23:00:00+00:00;True;1.71;1.4;23.7;2019-01-01;2019;1;1;1;1;1;23;47;23;True;-2.728921124206701;-0.6458455213528234;36.65580758998944;2.593250125437039;31.085168737702034;7.385168737702035;False
2019-01-02 00:00:00+00:00;True;1.67;2.2;29.7;2019-01-02;2019;1;1;2;2;2;24;48;0;True;-2.4724149025779343;-0.7869774837039377;36.59115647121104;0.0927323625915501;30.730873119757234;1.030873119757235;False
2019-01-02 01:00:00+00:00;True;1.8;3.15;25.6;2019-01-02;2019;1;1;2;2;2;25;49;1;True;-2.7033178470619164;-0.5562508747961445;36.441756276158245;1.8025430212953344;29.823593895838943;4.223593895838942;False
2019-01-02 02:00:00+00:00;True;1.8;3.31;26.8;2019-01-02;2019;1;1;2;2;2;26;50;2;True;-2.4779028223695443;-8.97619820501086e-05;37.41298075497751;1.6095473464004784;32.95245856255174;6.15245856255174;False
2019-01-02 03:00:00+00:00;True;1.23;2.92;30.1;2019-01-02;2019;1;1;2;2;2;27;51;3;True;-2.894736797291322;-0.4615405634191872;38.27707290082928;0.5314399767089758;33.36884819497693;3.2688481949769255;False
2019-01-02 04:00:00+00:00;True;0.77;3.52;28.6;2019-01-02;2019;1;1;2;2;2;28;52;4;True;-2.878065696285965;-1.618330254928017e-07;36.66936388285511;6.151573382834909;34.45325272706266;5.85325272706266;False
2019-01-02 05:00:00+00:00;True;0.58;3.55;27.7;2019-01-02;2019;1;1;2;2;2;29;53;5;True;-2.7173514976741227;-0.0050738621421526;36.71026048625563;0.7867640499732121;35.116184407;7.416184406999999;False
2019-01-02 06:00:00+00:00;True;0.35;3.56;27.9;2019-01-02;2019;1;1;2;2;2;30;54;6;True;-2.5908067453147057;-0.0097288250735696;37.89040251034614;1.9749695178783808;36.948985532224086;9.048985532224087;False
2019-01-02 07:00:00+00:00;True;0.31;3.13;44.6;2019-01-02;2019;1;1;2;2;2;31;55;7;True;-2.734048893387398;-0.002123539800779;44.96840994942633;0.1144417829498252;44.114208112899796;-0.4857918871002056;False
2019-01-02 08:00:00+00:00;True;0.32;3.92;36.3;2019-01-02;2019;1;1;2;2;2;32;56;8;True;-3.362495855467823;-7.46083932226612e-09;56.12245192771845;5.094986406353794;55.046453224722256;18.74645322472226;False
2019-01-02 09:00:00+00:00;True;0.25;13.73;35.5;2019-01-02;2019;1;1;2;2;2;33;57;9;True;-5.550744248811054;-0.1032906046673596;138.9052256041178;3.572046092425431;136.0993595398322;100.5993595398322;True
2019-01-02 10:00:00+00:00;True;0.42;26.82;36.9;2019-01-02;2019;1;1;2;2;2;34;58;10;True;-5.754298391034531;-0.0142145189410173;121.24237564662556;8.750429635097445;118.44433692439297;81.54433692439298;True
2019-01-02 11:00:00+00:00;True;0.33;51.22;43.2;2019-01-02;2019;1;1;2;2;2;35;59;11;True;-5.687775858734942;-0.0364141133311361;124.82527188023197;3.302422925922244;121.08317496202865;77.88317496202865;True
2019-01-02 12:00:00+00:00;True;0.14;38.76;33.2;2019-01-02;2019;1;1;2;2;2;36;60;12;True;-5.2067836952776485;-0.0107996412328288;120.45195294207164;2.5641044667527138;119.30440913054834;86.10440913054833;True
2019-01-02 13:00:00+00:00;True;-0.23;46.49;33.6;2019-01-02;2019;1;1;2;2;2;37;61;13;True;-5.176249620000769;-0.0043959264844079;115.48373659321942;0.1027003610438065;116.46990738355947;82.86990738355948;True
2019-01-02 14:00:00+00:00;True;-1.13;22.3;38.6;2019-01-02;2019;1;1;2;2;2;38;62;14;True;-5.21365070260293;-0.0353095456020313;123.30955156357184;11.193438317582244;128.41357399058785;89.81357399058786;True
2019-01-02 15:00:00+00:00;True;-1.53;8.14;38.4;2019-01-02;2019;1;1;2;2;2;39;63;15;True;-5.143830828796597;-0.1683573450014476;128.59512143609317;8.475060436484487;135.09475381584016;96.69475381584016;True
2019-01-02 16:00:00+00:00;True;-1.78;2.34;44.3;2019-01-02;2019;1;1;2;2;2;40;64;16;True;-5.290082853039296;-0.166708096222075;123.65818545834068;10.0665198950227;132.684435991591;88.38443599159099;True
2019-01-02 17:00:00+00:00;True;-2.13;1.38;39.3;2019-01-02;2019;1;1;2;2;2;41;65;17;True;-4.444127636415741;-0.4154103882560503;105.13980612816236;7.14580711752368;114.03253165793454;74.73253165793454;True
2019-01-02 18:00:00+00:00;True;-2.31;1.03;38.8;2019-01-02;2019;1;1;2;2;2;42;66;18;True;-2.588688008649852;-0.1538735889087053;58.425815290034926;3.239948970707049;64.24719479344012;25.44719479344012;False
