DATE;DATE_year;DATE_month_year;DATE_week_year;DATE_day_year;DATE_day_month;DATE_day_week;DATE_hour_year;DATE_hour_week;DATE_hour_day;DATE_weekday;DATE_YYYY_MM_DD;Holiday;Temperature;Solar_Irradiation;Power;Power_fitted;IS_Outlier;IS_Missing;IS_Missing_Outlier;IS_Repaired;Power_corrected
2019-01-01 00:00:00+00:00;2019;1;1;1;1;1;0;24;0;True;2019-01-01;True;-1.15;4.21;27.5;32.770166747528336;False;False;False;False;27.5
2019-01-01 01:00:00+00:00;2019;1;1;1;1;1;1;25;1;True;2019-01-01;True;-0.94;4.23;30.0;31.43529684345216;False;False;False;False;30.0
2019-01-01 02:00:00+00:00;2019;1;1;1;1;1;2;26;2;True;2019-01-01;True;-0.8;4.13;26.6;31.787891540477364;False;False;False;False;26.6
2019-01-01 03:00:00+00:00;2019;1;1;1;1;1;3;27;3;True;2019-01-01;True;-0.6;4.04;26.9;32.56684048170347;False;False;False;False;26.9
2019-01-01 04:00:00+00:00;2019;1;1;1;1;1;4;28;4;True;2019-01-01;True;-0.1;4.93;28.4;30.0067221189717;False;False;False;False;28.4
2019-01-01 05:00:00+00:00;2019;1;1;1;1;1;5;29;5;True;2019-01-01;True;-0.12;5.11;26.5;33.36606791422069;False;False;False;False;26.5
2019-01-01 06:00:00+00:00;2019;1;1;1;1;1;6;30;6;True;2019-01-01;True;0.14;4.7;30.2;32.68181449645235;False;False;False;False;30.2
2019-01-01 07:00:00+00:00;2019;1;1;1;1;1;7;31;7;True;2019-01-01;True;0.39;4.4;60.4;40.51749609507026;False;False;False;False;60.4
2019-01-01 08:00:00+00:00;2019;1;1;1;1;1;8;32;8;True;2019-01-01;True;0.51;4.72;39.7;45.344931252590655;False;False;False;False;39.7
2019-01-01 09:00:00+00:00;2019;1;1;1;1;1;9;33;9;True;2019-01-01;True;0.68;8.77;35.4;122.29133133523084;True;False;True;False;35.4
2019-01-01 10:00:00+00:00;2019;1;1;1;1;1;10;34;10;True;2019-01-01;True;1.01;22.71;33.7;119.70945992042697;True;False;True;False;33.7
2019-01-01 11:00:00+00:00;2019;1;1;1;1;1;11;35;11;True;2019-01-01;True;1.43;28.42;32.8;118.28880588960482;True;False;True;False;32.8
2019-01-01 12:00:00+00:00;2019;1;1;1;1;1;12;36;12;True;2019-01-01;True;1.81;40.0;32.5;107.71884472923654;True;False;True;False;32.5
2019-01-01 13:00:00+00:00;2019;1;1;1;1;1;13;37;13;True;2019-01-01;True;1.99;43.24;35.0;109.47055916766008;True;False;True;False;35.0
2019-01-01 14:00:00+00:00;2019;1;1;1;1;1;14;38;14;True;2019-01-01;True;2.19;15.66;35.9;104.75608251431252;True;False;True;False;35.9
2019-01-01 15:00:00+00:00;2019;1;1;1;1;1;15;39;15;True;2019-01-01;True;2.32;5.74;36.1;109.44090953925075;True;False;True;False;36.1
2019-01-01 16:00:00+00:00;2019;1;1;1;1;1;16;40;16;True;2019-01-01;True;2.3;2.83;33.1;103.35739240658594;True;False;True;False;33.1
2019-01-01 17:00:00+00:00;2019;1;1;1;1;1;17;41;17;True;2019-01-01;True;2.36;1.9;32.2;86.60346469173301;True;False;True;False;32.2
2019-01-01 18:00:00+00:00;2019;1;1;1;1;1;18;42;18;True;2019-01-01;True;2.25;2.25;36.4;50.0482248105664;False;False;False;False;36.4
2019-01-01 19:00:00+00:00;2019;1;1;1;1;1;19;43;19;True;2019-01-01;True;2.11;2.25;33.2;50.32981770256914;False;False;False;False;33.2
2019-01-01 20:00:00+00:00;2019;1;1;1;1;1;20;44;20;True;2019-01-01;True;1.98;2.24;31.8;43.79785418374275;False;False;False;False;31.8
2019-01-01 21:00:00+00:00;2019;1;1;1;1;1;21;45;21;True;2019-01-01;True;1.76;1.67;33.1;49.01888384614749;False;False;False;False;33.1
2019-01-01 22:00:00+00:00;2019;1;1;1;1;1;22;46;22;True;2019-01-01;True;1.62;1.56;25.2;32.61031197758455;False;False;False;False;25.2
2019-01-01 23:00:00+00:00;2019;1;1;1;1;1;23;47;23;True;2019-01-01;True;1.71;1.4;23.7;31.085168737702038;False;False;False;False;23.7
2019-01-02 00:00:00+00:00;2019;1;1;2;2;2;24;48;0;True;2019-01-02;True;1.67;2.2;29.7;30.730873119757234;False;False;False;False;29.7
2019-01-02 01:00:00+00:00;2019;1;1;2;2;2;25;49;1;True;2019-01-02;True;1.8;3.15;25.6;29.823593895838943;False;False;False;False;25.6
2019-01-02 02:00:00+00:00;2019;1;1;2;2;2;26;50;2;True;2019-01-02;True;1.8;3.31;26.8;32.95245856255174;False;False;False;False;26.8
2019-01-02 03:00:00+00:00;2019;1;1;2;2;2;27;51;3;True;2019-01-02;True;1.23;2.92;30.1;33.36884819497693;False;False;False;False;30.1
2019-01-02 04:00:00+00:00;2019;1;1;2;2;2;28;52;4;True;2019-01-02;True;0.77;3.52;28.6;34.45325272706266;False;False;False;False;28.6
2019-01-02 05:00:00+00:00;2019;1;1;2;2;2;29;53;5;True;2019-01-02;True;0.58;3.55;27.7;35.116184407;False;False;False;False;27.7
2019-01-02 06:00:00+00:00;2019;1;1;2;2;2;30;54;6;True;2019-01-02;True;0.35;3.56;27.9;36.948985532224086;False;False;False;False;27.9
2019-01-02 07:00:00+00:00;2019;1;1;2;2;2;31;55;7;True;2019-01-02;True;0.31;3.13;44.6;44.1142081128998;False;False;False;False;44.6
2019-01-02 08:00:00+00:00;2019;1;1;2;2;2;32;56;8;True;2019-01-02;True;0.32;3.92;36.3;55.046453224722256;False;False;False;False;36.3
2019-01-02 09:00:00+00:00;2019;1;1;2;2;2;33;57;9;True;2019-01-02;True;0.25;13.73;35.5;136.0993595398322;True;False;True;False;35.5
2019-01-02 10:00:00+00:00;2019;1;1;2;2;2;34;58;10;True;2019-01-02;True;0.42;26.82;36.9;118.44433692439296;True;False;True;False;36.9
2019-01-02 11:00:00+00:00;2019;1;1;2;2;2;35;59;11;True;2019-01-02;True;0.33;51.22;43.2;121.08317496202864;True;False;True;False;43.2
2019-01-02 12:00:00+00:00;2019;1;1;2;2;2;36;60;12;True;2019-01-02;True;0.14;38.76;33.2;119.30440913054834;True;False;True;False;33.2
2019-01-02 13:00:00+00:00;2019;1;1;2;2;2;37;61;13;True;2019-01-02;True;-0.23;46.49;33.6;116.46990738355947;True;False;True;False;33.6
2019-01-02 14:00:00+00:00;2019;1;1;2;2;2;38;62;14;True;2019-01-02;True;-1.13;22.3;38.6;128.41357399058785;True;False;True;False;38.6
2019-01-02 15:00:00+00:00;2019;1;1;2;2;2;39;63;15;True;2019-01-02;True;-1.53;8.14;38.4;135.09475381584016;True;False;True;False;38.4
2019-01-02 16:00:00+00:00;2019;1;1;2;2;2;40;64;16;True;2019-01-02;True;-1.78;2.34;44.3;132.684435991591;True;False;True;False;44.3
2019-01-02 17:00:00+00:00;2019;1;1;2;2;2;41;65;17;True;2019-01-02;True;-2.13;1.38;39.3;114.03253165793454;True;False;True;False;39.3
2019-01-02 18:00:00+00:00;2019;1;1;2;2;2;42;66;18;True;2019-01-02;True;-2.31;1.03;38.8;64.24719479344012;False;False;False;False;38.8
2019-01-02 19:00:00+00:00;2019;1;1;2;2;2;43;67;19;True;2019-01-02;True;-2.64;1.18;39.8;61.80860140956513;False;False;False;False;39.8
2019-01-02 20:00:00+00:00;2019;1;1;2;2;2;44;68;20;True;2019-01-02;True;-2.94;1.49;42.0;64.66330140594667;False;False;False;False;42.0
2019-01-02 21:00:00+00:00;2019;1;1;2;2;2;45;69;21;True;2019-01-02;True;-3.33;1.36;35.8;56.28275616853992;False;False;False;False;35.8
2019-01-02 22:00:00+00:00;2019;1;1;2;2;2;46;70;22;True;2019-01-02;True;-3.67;1.68;32.8;45.21063866016282;False;False;False;False;32.8
2019-01-02 23:00:00+00:00;2019;1;1;2;2;2;47;71;23;True;2019-01-02;True;-3.55;2.4;31.8;44.72863771888351;False;False;False;False;31.8
2019-01-03 00:00:00+00:00;2019;1;1;3;3;3;48;72;0;True;2019-01-03;True;-3.88;4.09;29.0;45.92197803770641;False;False;False;False;29.0
2019-01-03 01:00:00+00:00;2019;1;1;3;3;3;49;73;1;True;2019-01-03;True;-4.1;4.76;32.1;47.754866926691136;False;False;False;False;32.1
2019-01-03 02:00:00+00:00;2019;1;1;3;3;3;50;74;2;True;2019-01-03;True;-4.38;4.94;32.8;46.72993018856035;False;False;False;False;32.8
2019-01-03 03:00:00+00:00;2019;1;1;3;3;3;51;75;3;True;2019-01-03;True;-4.42;5.55;32.6;45.786230359275926;False;False;False;False;32.6
2019-01-03 04:00:00+00:00;2019;1;1;3;3;3;52;76;4;True;2019-01-03;True;-4.54;5.53;34.9;50.22321787824767;False;False;False;False;34.9
2019-01-03 05:00:00+00:00;2019;1;1;3;3;3;53;77;5;True;2019-01-03;True;-4.54;5.45;38.4;47.0382062998188;False;False;False;False;38.4
2019-01-03 06:00:00+00:00;2019;1;1;3;3;3;54;78;6;True;2019-01-03;True;-4.36;5.22;34.2;49.4673322603465;False;False;False;False;34.2
2019-01-03 07:00:00+00:00;2019;1;1;3;3;3;55;79;7;True;2019-01-03;True;-4.37;4.77;62.0;56.26387025374686;False;False;False;False;62.0
2019-01-03 08:00:00+00:00;2019;1;1;3;3;3;56;80;8;True;2019-01-03;True;-4.37;4.81;46.3;74.62973377542184;False;False;False;False;46.3
2019-01-03 09:00:00+00:00;2019;1;1;3;3;3;57;81;9;True;2019-01-03;True;-4.32;10.57;43.8;165.40217434244124;True;False;True;False;43.8
2019-01-03 10:00:00+00:00;2019;1;1;3;3;3;58;82;10;True;2019-01-03;True;-4.25;33.52;40.2;144.14312106195476;True;False;True;False;40.2
2019-01-03 11:00:00+00:00;2019;1;1;3;3;3;59;83;11;True;2019-01-03;True;-4.34;36.51;42.4;155.8912377678564;True;False;True;False;42.4
2019-01-03 12:00:00+00:00;2019;1;1;3;3;3;60;84;12;True;2019-01-03;True;-4.22;49.86;43.1;140.76236683054265;True;False;True;False;43.1
2019-01-03 13:00:00+00:00;2019;1;1;3;3;3;61;85;13;True;2019-01-03;True;-4.3;35.16;42.8;148.00805609514393;True;False;True;False;42.8
2019-01-03 14:00:00+00:00;2019;1;1;3;3;3;62;86;14;True;2019-01-03;True;-4.58;21.21;42.6;143.0773587388052;True;False;True;False;42.6
2019-01-03 15:00:00+00:00;2019;1;1;3;3;3;63;87;15;True;2019-01-03;True;-4.84;6.15;40.2;146.10499353347777;True;False;True;False;40.2
2019-01-03 16:00:00+00:00;2019;1;1;3;3;3;64;88;16;True;2019-01-03;True;-4.98;2.88;44.5;151.45318755254348;True;False;True;False;44.5
2019-01-03 17:00:00+00:00;2019;1;1;3;3;3;65;89;17;True;2019-01-03;True;-5.33;2.21;41.5;133.6797316255457;True;False;True;False;41.5
2019-01-03 18:00:00+00:00;2019;1;1;3;3;3;66;90;18;True;2019-01-03;True;-5.52;1.69;40.3;69.7241147391255;False;False;False;False;40.3
2019-01-03 19:00:00+00:00;2019;1;1;3;3;3;67;91;19;True;2019-01-03;True;-5.35;1.34;44.8;68.40220423592629;False;False;False;False;44.8
2019-01-03 20:00:00+00:00;2019;1;1;3;3;3;68;92;20;True;2019-01-03;True;-5.44;2.7;37.8;70.77378596965998;True;False;True;False;37.8
2019-01-03 21:00:00+00:00;2019;1;1;3;3;3;69;93;21;True;2019-01-03;True;-5.47;2.15;40.2;61.41055375252436;False;False;False;False;40.2
2019-01-03 22:00:00+00:00;2019;1;1;3;3;3;70;94;22;True;2019-01-03;True;-5.3;2.76;31.9;43.54691842849682;False;False;False;False;31.9
2019-01-03 23:00:00+00:00;2019;1;1;3;3;3;71;95;23;True;2019-01-03;True;-5.32;2.66;33.5;44.62531977252501;False;False;False;False;33.5
2019-01-04 00:00:00+00:00;2019;1;1;4;4;4;72;96;0;True;2019-01-04;True;-5.39;4.91;38.2;48.59877745655123;False;False;False;False;38.2
2019-01-04 01:00:00+00:00;2019;1;1;4;4;4;73;97;1;True;2019-01-04;True;-5.45;4.77;31.6;46.936287406293154;False;False;False;False;31.6
2019-01-04 02:00:00+00:00;2019;1;1;4;4;4;74;98;2;True;2019-01-04;True;-5.45;5.07;39.2;49.82972879233177;False;False;False;False;39.2
2019-01-04 03:00:00+00:00;2019;1;1;4;4;4;75;99;3;True;2019-01-04;True;-5.53;5.16;39.3;46.08260051457389;False;False;False;False;39.3
2019-01-04 04:00:00+00:00;2019;1;1;4;4;4;76;100;4;True;2019-01-04;True;-5.82;5.11;38.8;48.09880160775239;False;False;False;False;38.8
2019-01-04 05:00:00+00:00;2019;1;1;4;4;4;77;101;5;True;2019-01-04;True;-6.17;5.3;35.6;51.44191375787308;False;False;False;False;35.6
2019-01-04 06:00:00+00:00;2019;1;1;4;4;4;78;102;6;True;2019-01-04;True;-6.4;4.87;40.1;55.61083063602831;False;False;False;False;40.1
2019-01-04 07:00:00+00:00;2019;1;1;4;4;4;79;103;7;True;2019-01-04;True;-6.66;4.98;72.2;71.13900424371367;False;False;False;False;72.2
2019-01-04 08:00:00+00:00;2019;1;1;4;4;4;80;104;8;True;2019-01-04;True;-6.9;5.82;38.3;77.5631860435658;True;False;True;False;38.3
2019-01-04 09:00:00+00:00;2019;1;1;4;4;4;81;105;9;True;2019-01-04;True;-6.89;13.17;41.9;172.9887314019297;True;False;True;False;41.9
2019-01-04 10:00:00+00:00;2019;1;1;4;4;4;82;106;10;True;2019-01-04;True;-6.51;34.05;41.6;148.2995267781478;True;False;True;False;41.6
2019-01-04 11:00:00+00:00;2019;1;1;4;4;4;83;107;11;True;2019-01-04;True;-6.4;53.85;45.4;161.70360319598865;True;False;True;False;45.4
2019-01-04 12:00:00+00:00;2019;1;1;4;4;4;84;108;12;True;2019-01-04;True;-5.78;59.7;38.0;159.46505405371312;True;False;True;False;38.0
2019-01-04 13:00:00+00:00;2019;1;1;4;4;4;85;109;13;True;2019-01-04;True;-5.06;38.54;39.5;146.58862151185136;True;False;True;False;39.5
2019-01-04 14:00:00+00:00;2019;1;1;4;4;4;86;110;14;True;2019-01-04;True;-4.79;19.82;48.0;135.77733840491007;True;False;True;False;48.0
2019-01-04 15:00:00+00:00;2019;1;1;4;4;4;87;111;15;True;2019-01-04;True;-4.69;4.52;40.5;133.74197991700856;True;False;True;False;40.5
2019-01-04 16:00:00+00:00;2019;1;1;4;4;4;88;112;16;True;2019-01-04;True;-4.62;2.24;36.1;140.929058685171;True;False;True;False;36.1
2019-01-04 17:00:00+00:00;2019;1;1;4;4;4;89;113;17;True;2019-01-04;True;-4.58;2.05;34.9;122.08758115283918;True;False;True;False;34.9
2019-01-04 18:00:00+00:00;2019;1;1;4;4;4;90;114;18;True;2019-01-04;True;-4.43;0.99;44.3;68.96562240241016;False;False;False;False;44.3
2019-01-04 19:00:00+00:00;2019;1;1;4;4;4;91;115;19;True;2019-01-04;True;-4.22;1.33;36.1;61.29485959672784;False;False;False;False;36.1
2019-01-04 20:00:00+00:00;2019;1;1;4;4;4;92;116;20;True;2019-01-04;True;-4.02;0.43;36.5;71.35517594095772;True;False;True;False;36.5
2019-01-04 21:00:00+00:00;2019;1;1;4;4;4;93;117;21;True;2019-01-04;True;-3.85;0.3;37.9;65.90751354612657;False;False;False;False;37.9
2019-01-04 22:00:00+00:00;2019;1;1;4;4;4;94;118;22;True;2019-01-04;True;-3.78;0.39;33.5;38.4183146228219;False;False;False;False;33.5
2019-01-04 23:00:00+00:00;2019;1;1;4;4;4;95;119;23;True;2019-01-04;True;-3.69;0.89;30.6;37.330847999136886;False;False;False;False;30.6
2019-01-05 00:00:00+00:00;2019;1;1;5;5;5;96;120;0;False;2019-01-05;True;-3.65;0.68;29.9;40.06038883250067;False;False;False;False;29.9
2019-01-05 01:00:00+00:00;2019;1;1;5;5;5;97;121;1;False;2019-01-05;True;-4.16;1.2;28.7;43.0108359680769;False;False;False;False;28.7
2019-01-05 02:00:00+00:00;2019;1;1;5;5;5;98;122;2;False;2019-01-05;True;-4.89;1.05;34.9;44.664223241869095;False;False;False;False;34.9
2019-01-05 03:00:00+00:00;2019;1;1;5;5;5;99;123;3;False;2019-01-05;True;-5.22;1.81;35.1;50.18712833989746;False;False;False;False;35.1
2019-01-05 04:00:00+00:00;2019;1;1;5;5;5;100;124;4;False;2019-01-05;True;-5.57;2.13;33.7;47.24797077108033;False;False;False;False;33.7
2019-01-05 05:00:00+00:00;2019;1;1;5;5;5;101;125;5;False;2019-01-05;True;-5.88;2.4;34.8;52.33445776416219;False;False;False;False;34.8
2019-01-05 06:00:00+00:00;2019;1;1;5;5;5;102;126;6;False;2019-01-05;True;-6.08;2.57;38.7;50.44536424484575;False;False;False;False;38.7
2019-01-05 07:00:00+00:00;2019;1;1;5;5;5;103;127;7;False;2019-01-05;True;-6.47;2.58;72.9;68.49549908312775;False;False;False;False;72.9
2019-01-05 08:00:00+00:00;2019;1;1;5;5;5;104;128;8;False;2019-01-05;True;-6.82;2.88;41.3;63.85481982906343;False;False;False;False;41.3
2019-01-05 09:00:00+00:00;2019;1;1;5;5;5;105;129;9;False;2019-01-05;True;-6.73;10.56;42.6;57.77787308080353;False;False;False;False;42.6
2019-01-05 10:00:00+00:00;2019;1;1;5;5;5;106;130;10;False;2019-01-05;True;-6.58;29.01;46.7;55.23941856723876;False;False;False;False;46.7
2019-01-05 11:00:00+00:00;2019;1;1;5;5;5;107;131;11;False;2019-01-05;True;-6.38;41.02;40.1;54.48379667427192;False;False;False;False;40.1
2019-01-05 12:00:00+00:00;2019;1;1;5;5;5;108;132;12;False;2019-01-05;True;-6.04;69.78;41.5;50.903953471283856;False;False;False;False;41.5
2019-01-05 13:00:00+00:00;2019;1;1;5;5;5;109;133;13;False;2019-01-05;True;-5.93;46.34;40.8;50.70545173559892;False;False;False;False;40.8
2019-01-05 14:00:00+00:00;2019;1;1;5;5;5;110;134;14;False;2019-01-05;True;-6.2;31.35;40.1;53.85918743888995;False;False;False;False;40.1
