model;mae;rmse;resid_1h;resid_3h;resid_6h
TOW;6.999949454272206;9.458912986765206;51372.62904490372;127834.11483221133;234170.64996190445
ClustH;6.655935543397468;9.559539335230125;48847.91095299402;118776.62220245066;215816.69365990954
ClustH_PRED;6.772051284648277;9.766015427328053;49700.0843780337;121173.82816326199;219822.3809240832
