DATE_hour_week;slope_Temp;slope_Irrad;intercept;minimum
0;-2.361703965159443;-0.6306393935593049;35.019548794322425;0.5392518644514708
1;-2.4023433104138467;-0.30141299885830947;33.853130822401845;2.9423468076288404
2;-2.227151719178897;-1.2655924027145037e-08;34.28067678381976;3.6716433713288965
3;-2.127906946663939;-0.783547347301682;35.45836677812327;6.6729960310761225
4;-2.884670693126067;-0.8327951272120465;39.67272591768339;3.1929907181880526
5;-2.08870242720891;-0.07578871529989258;35.3173524779559;0.2972141228226833
6;-2.5788496660063305;-1.8783789297896973e-06;37.279079005069995;0.2171595648135404
7;-2.8874074873922253;-0.030348596217793206;51.92878943464103;0.8204817138057455
8;-2.5542025405657354;-0.012786190770138707;46.633212470411635;5.987490775683538
9;-5.810396795157043;-0.06687631771526785;123.99635677357404;2.0612912128139644
10;-5.65188765037308;-0.03931537933334681;122.25578252176419;3.8803417375462765
11;-5.665912710432664;-0.056416856060917155;125.63520712345843;2.500086413255647
12;-5.154031602757513;-0.023854054946364816;119.33689156310871;1.9026536283475062
13;-5.247417074496703;-0.04651540806781585;124.50803951592106;7.41637948752158
14;-4.826892873472407;-0.0513723385270313;119.88278098109971;4.3216441065217
15;-5.137340208530686;-0.04840955079509583;113.402467575196;2.1908880029943982
16;-4.585208945227526;-0.05309702383013774;111.83073259998196;2.9515802087459275
17;-4.2462111140653835;-0.08158304099406852;94.02829962224256;2.2428634019283513
18;-2.3986015832651617;-0.04365673993546685;48.505711185560415;4.015419570796553
19;-2.146526088120942;-0.1690848738962253;49.45804285099804;2.1047021166968922
20;-2.2560975567644737;-2.1214486714220504;47.28578731090463;0.2008552164007687
21;-2.304874611201376;-1.827285094983762;46.14679273414114;2.924373078402548
22;-1.7201503318719407;-6.563896765040997e-10;26.835913909751124;1.0861439800806196
23;-1.7867690490250054;-0.3738487963105905;30.322579565511496;1.3132061044813539
24;-2.083580319154989;-5.3302777275910225e-09;30.316494916396337;0.48424422255779065
25;-2.360552009782174;-3.8279502891398855e-08;29.277073505336652;2.837640474965771
26;-2.066210044176486;-1.278754766793015e-07;30.055211346104148;6.740420191324925
27;-2.3229246639887986;-0.12587804387740395;32.24226975736786;2.3415466486074648
28;-2.0711437669960318;-0.2500593081613145;31.55620404137684;0.6955214813277484
29;-1.810181099712046;-0.11014133107948669;33.379968079421026;4.378111309001824
30;-2.182934680661951;-0.02266897716017785;32.91771843266784;0.8129126287875732
31;-2.527443747786445;-0.025335694077460866;41.50546579609844;0.30184436067291376
32;-2.4919174334563925;-0.007321428468748129;47.23404301633877;1.3167710258798584
33;-6.507121808437127;-0.01518282366524914;125.52064927906873;0.7166251898745326
34;-6.067353004628527;-0.026412647586471015;126.17922213975929;2.0892099108727287
35;-5.837387490185478;-0.03607212924124014;125.89089950685988;0.5270935862326998
36;-6.1822721120174196;-0.01946992245855798;119.78360232544908;3.864765586708389
37;-5.753635691397574;-0.02598467727451352;121.25171007688607;1.961010956680461
38;-5.723017931696779;-0.004596438530741944;117.64425094306495;3.769869568614343
39;-5.283018849715185;-0.0820194640529539;122.21735957570341;0.20402287686146975
40;-5.406503685530682;-0.08083404724211497;117.19203473118408;3.566028903713314
41;-4.383139664295844;-0.07168264880251123;94.51245855849648;0.5997925888438136
42;-2.665240133139309;-0.4358984329389974;57.244618835243244;2.811005632969758
43;-2.6083761921002213;-0.428981811121442;56.61452258206251;4.858856379455493
44;-2.673417713293082;-1.2023476017367891;51.722734085938974;1.2204717685300124
45;-3.172358591240831;-0.2581980280150808;55.35173653889736;2.3174052829299665
46;-2.310286677881591;-3.0395327433528825e-12;36.21133652011004;0.09353379343514392
47;-2.7289211092050802;-0.5079659860984567;36.1317911841475;2.1739356813925617
48;-2.4764595103427522;-0.13377525213456556;34.864017003336315;0.0997400050510942
49;-2.703317888660316;-0.4865245744256412;36.10176385446504;1.8862482982154962
50;-2.47790618457863;-2.8835024518829797e-09;37.38390347063864;1.5737131684857348
51;-2.745930990063834;-9.57931385955183e-07;36.68181384757306;0.4144480571887014
52;-2.878066641833465;-2.277547637519877e-10;36.50278509849425;6.296246064195093
53;-2.739041603890118;-0.004644116286124436;36.80205123054313;0.5590643817242752
54;-2.590806722162184;-0.008492492442859276;37.75676257591108;1.8817551545633573
55;-2.7337168955350535;-0.002643441865843135;45.426532592957905;0.10197244506363809
56;-2.6862744797596982;-0.004709764944947563;57.57960270179545;8.85375744640264
57;-5.55074424463217;-0.10284722055579991;138.6606047491879;3.329036671372385
58;-5.113006100510134;-0.02650476637851653;122.75363962898112;11.30303302369823
59;-5.6045599318978;-0.02305218840962509;118.15263694046608;3.2649712552732866
60;-5.206783694861193;-0.005923799309698427;116.90269358022778;2.2942980112422906
61;-4.920679709313774;-0.010950155467516978;114.18525092524514;0.10374521017686483
62;-5.21365067424615;-0.03547672972198974;123.2685427111976;11.419475330005143
63;-5.14383252446284;-0.16495066483607587;128.37237092787424;8.698784908091366
64;-5.290082879415837;-0.16541124175932082;124.00477604375979;10.33727107726454
65;-4.44412721596906;-0.4154120406214643;104.9399840912156;7.1768142620478415
66;-2.5248873211057106;-0.16436692112459483;58.47534733189204;3.048844980146447
67;-2.76405820268166;-0.17399876607765655;53.46740548698201;0.10245263230652757
68;-2.547199009536648;-1.2839311252996115;55.233245983231164;1.6508262205623252
69;-2.539376406033057;-1.5166304972957372;49.93071318612784;2.987787231562053
70;-2.1652892557242103;-1.7241978568920495e-09;37.196480346403774;1.2051065530906218
71;-2.3909309492529154;-0.07068644566553689;36.244773415968254;3.9947769961851285
72;-2.502591250169015;-0.0007865665654274163;37.16894298007494;0.7561223801159529
73;-2.5777618876743853;-4.923323338827775e-10;37.206558342749645;2.001520276302986
74;-2.295748613099851;-1.3010777439201438e-07;36.7039176913355;0.08503400628546566
75;-2.5161290313257654;-1.4267879504134504;42.064854917036655;6.494277742033884
76;-2.538574577142538;-0.30114273554364634;41.18927076905079;6.358706190532802
77;-2.3499634750050116;-0.05249787430164561;37.783392342004824;6.564359463571593
78;-2.361058719679753;-0.024877254754810934;39.298061342692364;7.36989627047017
79;-2.5293930578055237;-0.018157836569106595;45.633546574677524;0.06065747585281214
80;-2.9735409966308612;-0.025965180128197422;60.63291627129155;0.08307635885878362
81;-5.752796094941952;-0.06760931096230753;135.09185421859388;7.705120289291579
82;-5.4674457428762615;-0.03846568734132669;126.0861143850715;4.292285048958011
83;-5.411466609017029;-0.060408079276801516;130.29189973793444;2.8558018350820484
84;-5.399399506063768;-0.009936169911207158;117.3537129570193;1.3720425111363335
85;-5.465924894815356;-0.03841653555878025;127.85009159365231;0.09497243338257509
86;-5.17111290721109;-0.042470258446860726;123.1558183420105;0.22339085295022548
87;-5.173247381141677;-0.03324963233237206;121.38173457323934;0.461753097700274
88;-5.213493942928574;-0.1275049712008372;125.55780113869706;3.548770508147946
89;-4.487506328455119;-0.43271949441787283;109.99585664743103;4.846856464826431
90;-2.3207064934549453;-0.23746014804208068;57.48026897163174;1.5000341359688993
91;-2.3088685012981722;-0.6820748320315789;54.14383142072177;1.1892552415602442
92;-3.120437736236014;-0.507297614502492;55.03967601503101;0.0999141270029362
93;-2.585882936322312;-2.2449330863988006;52.119128724014224;4.802237506962554
94;-1.8801313527812786;-9.599861579269535e-08;33.65360171940352;0.09955978068421474
95;-2.0215924422419285;-5.942609494241296e-12;33.521885748756986;3.7742481999787776
96;-2.284841754010416;-2.2818360947842996e-09;36.035020933076886;2.685908426667311
97;-2.2151716180941396;-4.346206743359882e-11;34.76277009868099;1.4244509260777074
98;-2.5317952001317554;-5.5664446217015006e-05;36.04177511311313;4.070375633161646
99;-2.338352513870535;-1.1756415955849555;39.24419634041832;0.2138271289093941
100;-2.3011132425830407;-0.9005340441762876;39.35826544289236;0.10618944803577098
101;-2.2520720205679488;-0.13451794998270214;38.00899009722888;7.830052955590086
102;-2.3432875975206247;-0.04114432835945049;39.72176830680889;9.32242704098508
103;-2.5919259408900714;-0.15399281032909806;54.66319243508496;3.361714233989646
104;-2.649105367046399;-0.028372206647265336;59.820060894916764;4.382095262410525
105;-5.574837228067373;-0.06917952449943471;135.9286132261459;1.5807655857764882
106;-5.414868105510745;-0.034581666828084244;123.12142875077774;0.1327199760600175
107;-5.447470555495087;-0.07362421189284052;138.71161095982018;0.1001149069090919
108;-5.42206964411232;-0.019187692514575416;123.37365848655423;9.171591852839944
109;-5.304494923909811;-0.02640318762311185;119.94359395895371;2.3192708108260183
110;-5.23754269354185;-0.01606221436545733;110.74782617542205;0.5804218919760451
111;-5.0984682712128215;-0.040646853204970766;113.39584225343334;0.29952551843582237
112;-5.098228556332215;-0.07811666599874771;118.30054637475675;1.9414558411015912
113;-4.459921798356277;-0.19167679632342322;101.82768934123033;4.10402557154917
114;-2.2817801819455976;-0.23336086857912444;53.49498784133541;1.0254976245006693
115;-2.370333249708261;-0.5232539709194359;52.20737342115955;2.3044159184355997
116;-3.277697442441886;-0.8955090331631668;58.75580337816033;1.0429113087434947
117;-3.2150580722498128;-1.188583010733955;53.63898457578738;2.1232145812560828
118;-2.031073446306502;-0.08941734006212862;30.54650769716911;0.7553542141377709
119;-1.8490780894844758;-8.797343927381992e-06;30.627015959784;0.759022296496019
120;-2.0336978705211046;-2.7607615046828424e-06;32.683629809445975;2.71995126490139
121;-2.1560326578651092;-0.007565995163998221;34.27445254362543;2.2251179641080663
122;-2.020420744066726;-3.9022004443269784e-07;34.8424882418384;2.8603421858206843
123;-2.4223281526646567;-1.0579297655105202;38.92419315659826;1.982041976828174
124;-2.0660878925035746;-0.7012930427293571;38.295346556036264;2.5694440182064064
125;-2.3848840729228633;-0.07959177377999171;38.629107601126286;4.9016221144172185
126;-1.9821483063865046;-0.06113409004465795;38.66045593319331;0.08559839651541767
127;-2.6445553260963925;-0.04446419716006677;52.31605130054563;9.674800155837556
128;-2.241475571964869;-0.019754245573668835;48.36540152191512;2.130730726332675
129;-1.9717146223153097;-0.006035439541500542;44.47499465629488;2.5288592919507917
130;-1.7845657380547237;-0.009167619501108133;44.13207118094468;1.6991759248745752
131;-1.6978644313405427;-0.018969427358987535;44.5776932649142;0.2146428108802653
132;-1.696905001461456;-0.015639091041300467;41.7813167063479;2.9924829212794974
133;-1.9685440983840974;-4.91017819481918e-08;39.64207646777962;0.28756893218586316
134;-1.7912669073495298;-0.021681525975860882;43.282827446604266;2.1254808364695776
135;-1.995341368487144;-0.031362270741993166;44.06115980214562;5.198596948340005
136;-1.840443622596485;-0.12869793735965832;45.899521405614294;3.4916544827519163
137;-1.8276752751338843;-0.04109125382195042;42.825339084536324;4.096245645807201
138;-1.7911975011734902;-0.2741120601864343;42.75591689447315;2.771261386296152
139;-2.056494044001536;-0.1942411379270059;40.50850030543333;2.321828542268454
140;-2.0237766103502066;-1.456136849492524;41.300836849217475;4.064148232571767
141;-2.1897391403326947;-1.2011440675060459;44.008558235238766;2.1797920112249454
142;-1.4159292035170223;-0.4510933748692733;24.43087990726291;2.0266356854511263
143;-1.387473778026936;-1.0615600844346116;25.706589882415916;1.3869347569476804
144;-1.6851626580665913;-3.72737377586446e-06;27.449867352309024;1.180727443979322
145;-1.730271665495533;-0.7113378169948027;27.565406355047646;0.1253648437270473
146;-1.9036544850492727;-1.447059727628275;30.90187614362319;2.2458613738887188
147;-1.8014561656262207;-0.44918661499032575;29.53173460415462;1.273298375615508
148;-1.9272472794869588;-0.6347916712045679;29.24056397650538;3.2408516469326685
149;-2.1094554513461117;-0.10811345210985995;29.253859804151546;3.0514872979782472
150;-1.7323094548414786;-0.037683007168797154;29.78734237586666;1.6018957604769628
151;-2.2286059865562944;-0.026536857976543666;37.55478412185369;2.8807458567371005
152;-2.281988582663023;-0.013042433844796041;42.780223504839604;4.582533379975195
153;-2.0623062885290686;-0.02252617438002649;44.570011960044425;1.6362632454391453
154;-1.9824243944622622;-0.014489255161945448;45.3435080861768;0.4971018903764156
155;-2.1325575409989415;-0.0173845672361935;44.21794948492006;3.5023813168942404
156;-2.005578093305377;-1.6344327763911521e-12;38.58451787582471;0.16467804750720272
157;-1.953773725829388;-0.0030649608331295487;40.558266869289994;1.7043956565956695
158;-2.048805597083575;-0.010857847861318503;41.02295438831422;0.10010938743216073
159;-1.8998233831638627;-0.006106351648113346;41.61360008289674;1.6917783593414448
160;-1.946258144052211;-0.08200978093565864;41.150462140191976;7.6285678717475225
161;-2.0892877414325968;-0.028577004207739436;43.49155368010253;0.9876272136007836
162;-2.142857104609684;-0.09568626266257356;42.13112217770542;1.2069843688067512
163;-2.037373475213934;-0.351460135318021;43.66246443618129;7.144819842557603
164;-2.2578903819426053;-1.8235614760196515;43.52133672896189;3.850662458240046
165;-2.289924838198939;-0.7187401886261932;44.26418780557232;2.0011018436179833
166;-2.260569454907216;-0.03668963118041428;34.77411987917893;6.514811182064589
167;-2.185294117646062;-0.03054861970776593;35.173142538139686;1.7604622482406458
