model;mae;rmse;resid_1h;resid_3h;resid_6h
TOW;6.977962289909695;9.434576592785078;51183.35339648761;127214.71052251986;233099.1576690186
ClustH;6.84191111700974;9.773848901442287;50185.41804326644;122394.8286323889;222996.1006980943
ClustH_PRED;7.001158509003924;10.23517962992867;51353.49766354378;125915.10917484871;229779.515411243
