ClusterHour;slope_Temp;slope_Irrad;intercept;minimum
0;-2.666018763049464;-0.7680232609080722;39.022778744764594;8.625441114272888
1;-2.6280834911574833;-2.7479232593917644e-09;37.113307608613496;0.5127149014520083
2;-2.68506900876436;-3.599738536582907e-11;37.313740727887655;0.004012907576171136
3;-2.5304506655634995;-1.393090244331044e-07;36.315440875915634;13.866271234380623
4;-2.8810731440679445;-1.4373142609560143;41.86135605773634;0.09983392964934326
5;-2.3429863026727005;-0.1330977103248088;37.934522537185686;0.46399548950993946
6;-2.4892826521807208;-0.15799439888582248;40.79159586632226;0.09832157058752079
7;-2.8227387283833725;-0.11678561599920975;52.061589660117306;7.6188279976975695
8;-3.0658613747019694;-0.029060548976085652;56.953236370691904;4.064755823192443
9;-7.150853153089935;-0.02402956115185817;133.62980116220527;21.30220792540841
10;-6.896422852730621;-8.729240403899687e-09;128.0264708904537;4.655567258797907
11;-6.965797757922847;-0.010594748425061666;130.85489669431618;9.655700399278267
12;-7.258963715254409;-0.0071492259748266234;128.60431541580883;45.18261956634563
13;-6.771830553888222;-1.2775683642650776e-10;126.03504914940476;0.08336330536238591
14;-6.549604291831649;-0.010389182928532423;125.70048300256018;8.893153432424695
15;-5.9170956368396315;-0.03920424543273151;127.20355728441629;7.514564784560241
16;-5.918848167496005;-0.07358700994473912;124.80700579336765;10.609200816314292
17;-4.7718480804870325;-0.1949765010234231;106.93147022936974;9.902376708515218
18;-2.933019359967517;-0.0941525947267863;57.5603239116301;1.9739574854646604
19;-3.057708842453069;-0.12866869173925127;56.075197370638065;6.885757915938487e-06
20;-3.3120750523355533;-0.23232594486396824;56.86864815919185;3.77344575023823e-07
21;-3.5065460885786286;-1.535988931699182e-07;55.46293427479584;0.23814659524008017
22;-2.4939319693750686;-6.767592269229426e-06;37.280627225121655;4.15294702545638
23;-2.8244882109137843;-5.8571022369977255e-06;35.76087452222269;8.575770657297166
100;-1.9988378849455006;-1.0116232138254641e-09;31.531217818946317;0.10000003476252255
101;-2.0024457291908093;-0.05234060698569313;31.318720126730575;1.772995398827626
102;-2.07170047054797;-4.4920695285116153e-05;31.95214498277013;4.801824754721402
103;-2.3880115498307046;-0.909456319355323;34.79604119778085;3.6413468919720344
104;-2.0516087924639903;-0.20462952831502;31.254321065751142;2.9094777634618465
105;-2.391715614999228;-0.02640121409254099;32.82234689990324;0.16668239369317486
106;-2.043147205836224;-0.039523732585846676;33.28965046482265;0.1742847112627323
107;-2.5058341674361038;-0.014699557163275907;42.34321211859207;5.160282184874068
108;-2.6143788364038016;-0.00866450974523351;48.574634681025465;5.552961013224846
109;-2.40757437166488;-4.375204832611735e-09;45.08585095173838;7.007904919375099
110;-2.324946797671434;-0.004644375645281881;45.417125300190726;9.13132239112964
111;-2.5560946027893787;-0.006911815187967035;44.3975707511208;7.6810547328046415
112;-2.3813142150677704;-0.008564813081618721;43.812230049211585;11.381991358255188
113;-2.3020094562411453;-1.7149294245837645e-13;42.66725779668961;6.124334627310795
